Randomint,los,firstvalue,mc_insig,mc_humil,sig_los,mc_worth,mc_purpose,marr_value,marr_fusion,attn_check_1,marr_ss_total,marr_act,marr_rad,abor_value,abor_fusion,attn_check2,abor_ss_total,abor_act,abor_rad,age,sex,race_ethni,race_ethni_TEXT,sex_orient,educ,reli,poli,poli_importance
1788,0,A,1,1,1,4,5,2,1,4,5.2,4.5,3.75,2,3,4,5.3,4.25,4,42,2,6,,2,2,4,4,12
1171,0,M,2,2,2,4,3,1,3,4,3.4,1,2.5,1,3,4,3.4,1,3.75,33,1,4,,2,4,1,3,12
1932,1,M,5,6,5.5,2,6,1,6,4,3.5,2.5,2.5,1,3,4,3.2,2.25,2,39,2,4,,2,6,1,1,14
3744,0,A,2,1,1.5,4,2,1,6,4,4.3,6,1,1,5,4,4.2,5,1,47,2,4,,2,7,2,4,13
3492,0,M,2,2,2,6,5,1,3,4,4.1,5.75,3.5,1,3,4,4,6,3.5,64,2,4,,2,7,6,3,14
3018,0,A,1,1,1,4,4,1,6,4,5,6,2.75,1,6,4,5.1,6,3.25,58,2,4,,2,4,1,2,15
4963,0,M,1,2,1.5,5,4,2,6,4,3.8,7,4,2,5,4,4.1,7,4.75,28,2,4,,2,3,7,5,14
5258,1,A,6,6,6,4,4,2,4,4,2.8,2,1.25,1,3,4,3,2,1,33,2,4,,2,6,1,6,13
5823,1,M,5,7,6,5,6,2,6,4,4.2,1,1,1,1,4,3.8,1,1,22,2,4,,2,6,1,4,12
1485,0,A,2,2,2,5,5,1,6,4,2.4,4.75,1.75,1,6,4,2.5,4,2.5,26,1,4,,2,6,1,2,14
5942,1,M,6,6,6,3,4,2,6,4,3.8,4,1,1,6,4,3.7,4.75,1,57,2,2,,2,4,2,4,13
2275,0,A,1,1,1,5,4,2,5,4,4.4,3.75,6.5,2,4,4,3.8,6.25,6.75,32,1,4,,2,6,7,6,14
5615,1,A,6,7,6.5,2,3,1,6,4,3.6,6.75,5,1,5,4,2.4,6,4.5,37,2,2,,3,7,1,1,14
5794,1,M,6,6,6,1,1,1,6,4,3.7,4.5,2,1,6,4,3.7,7,5,46,2,3,,2,6,1,2,14
3088,0,A,1,1,1,4,2,1,6,4,3.3,5.25,1.75,1,4,4,2.6,4.75,2.25,37,2,3,,2,6,2,2,14
5533,1,M,6,6,6,2,3,1,6,4,4.6,6,1.25,1,2,4,4,4.75,1.25,33,2,4,,2,7,4,3,14
4720,0,A,1,1,1,6,5,1,6,4,4.5,6.5,3,1,6,4,4.2,6,3,60,2,4,,2,2,1,1,14
1003,0,A,6,3,4.5,4,6,1,5,2,4.1,5,3.5,1,5,5,4.2,5.25,4,46,1,4,,2,5,5,4,13
3410,1,M,5,7,6,2,2,1,6,4,3.2,4.25,1.25,1,6,4,3.8,3.5,1.25,55,1,4,,4,6,1,4,12
2753,1,A,4,4,4,4,4,2,5,4,3.2,5,4.25,1,4,4,1.4,4.75,4.25,45,1,3,,2,7,4,5,13
3323,0,M,4,4,4,4,4,1,6,4,5,6,3,1,5,4,4.2,6,3,37,2,4,,3,4,4,2,14
